/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 66.46it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.74it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
[alfworld:sdar:qwen3_1b7] step 11/150 loss=0.1426 reward=0.008 gate=0.156 opsd=0.0757 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 12/150 loss=0.0972 reward=0.007 gate=0.906 opsd=1.0703 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 13/150 loss=0.0088 reward=0.008 gate=0.438 opsd=0.3984 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 14/150 loss=0.0212 reward=0.013 gate=0.500 opsd=0.0908 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 15/150 loss=-0.0159 reward=0.010 gate=0.812 opsd=0.4277 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 16/150 loss=0.5391 reward=0.019 gate=0.062 opsd=0.0082 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 17/150 loss=0.1060 reward=0.005 gate=0.781 opsd=0.6094 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 18/150 loss=-0.0344 reward=0.013 gate=0.844 opsd=0.3242 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 19/150 loss=-0.0188 reward=0.005 gate=0.562 opsd=0.2656 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 20/150 loss=0.0011 reward=0.008 gate=0.531 opsd=0.2432 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 21/150 loss=0.0781 reward=0.006 gate=0.500 opsd=0.2432 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 22/150 loss=0.1045 reward=0.007 gate=0.969 opsd=1.0078 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 23/150 loss=0.6523 reward=0.005 gate=0.000 opsd=-0.0049 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 24/150 loss=0.0776 reward=0.004 gate=0.875 opsd=1.2500 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 25/150 loss=0.0066 reward=0.011 gate=0.625 opsd=0.3828 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 26/150 loss=-0.0347 reward=0.011 gate=0.688 opsd=0.5664 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 27/150 loss=-0.0557 reward=0.015 gate=0.500 opsd=0.3770 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 28/150 loss=0.0032 reward=0.003 gate=0.938 opsd=0.4844 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 29/150 loss=0.0664 reward=0.004 gate=0.375 opsd=0.1533 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 30/150 loss=0.1797 reward=0.003 gate=0.969 opsd=1.5703 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 31/150 loss=-0.0383 reward=0.006 gate=0.438 opsd=0.1855 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 32/150 loss=0.0286 reward=0.004 gate=0.500 opsd=0.4316 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 33/150 loss=-0.0005 reward=0.011 gate=0.562 opsd=0.2207 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 34/150 loss=0.0074 reward=0.000 gate=0.312 opsd=0.0742 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 35/150 loss=0.0011 reward=0.005 gate=0.312 opsd=0.1069 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 36/150 loss=-0.0082 reward=0.003 gate=0.688 opsd=0.1943 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 37/150 loss=0.0198 reward=0.015 gate=0.438 opsd=0.0986 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 38/150 loss=0.0140 reward=0.002 gate=0.219 opsd=0.0219 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 39/150 loss=0.0039 reward=0.002 gate=0.656 opsd=0.1943 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 40/150 loss=-0.0273 reward=0.003 gate=0.875 opsd=0.3750 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 41/150 loss=-0.0479 reward=0.018 gate=0.406 opsd=0.0879 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 42/150 loss=0.1953 reward=0.005 gate=1.000 opsd=1.2656 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 43/150 loss=0.1377 reward=0.016 gate=0.250 opsd=0.0500 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 44/150 loss=0.1680 reward=0.004 gate=1.000 opsd=1.4453 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 45/150 loss=0.0281 reward=0.009 gate=0.719 opsd=0.6914 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 46/150 loss=0.1572 reward=0.002 gate=0.750 opsd=0.2012 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 47/150 loss=0.0942 reward=0.011 gate=0.875 opsd=0.7461 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 48/150 loss=0.0396 reward=0.003 gate=0.375 opsd=0.2656 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 49/150 loss=0.0776 reward=0.017 gate=0.094 opsd=0.0259 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 50/150 loss=0.1475 reward=0.012 gate=1.000 opsd=1.1328 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 51/150 loss=0.0337 reward=0.014 gate=0.938 opsd=0.5078 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 52/150 loss=0.0791 reward=0.006 gate=0.250 opsd=0.0752 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 53/150 loss=0.0383 reward=0.013 gate=0.906 opsd=0.7383 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 54/150 loss=-0.0233 reward=0.005 gate=0.344 opsd=0.2207 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 55/150 loss=-0.0591 reward=0.014 gate=0.281 opsd=0.1260 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 56/150 loss=-0.0593 reward=0.015 gate=0.531 opsd=0.1982 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 57/150 loss=0.0393 reward=0.014 gate=0.562 opsd=0.3809 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 58/150 loss=-0.0173 reward=0.004 gate=0.719 opsd=0.6172 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 59/150 loss=-0.0275 reward=0.014 gate=0.656 opsd=0.1572 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 60/150 loss=0.0034 reward=0.002 gate=0.844 opsd=0.3164 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 61/150 loss=0.0173 reward=0.003 gate=0.562 opsd=0.1670 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 62/150 loss=-0.0332 reward=0.010 gate=0.406 opsd=0.3477 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 63/150 loss=0.0253 reward=0.015 gate=0.688 opsd=0.4805 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 64/150 loss=-0.0118 reward=0.007 gate=0.656 opsd=0.2676 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 65/150 loss=0.0125 reward=0.000 gate=0.562 opsd=0.1245 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 66/150 loss=-0.0688 reward=0.015 gate=0.594 opsd=0.1914 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 67/150 loss=-0.0227 reward=0.006 gate=0.688 opsd=0.3262 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 68/150 loss=-0.0135 reward=0.002 gate=0.594 opsd=0.1367 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 69/150 loss=-0.0430 reward=0.016 gate=0.375 opsd=0.0801 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 70/150 loss=0.0154 reward=0.009 gate=0.844 opsd=0.6328 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 71/150 loss=0.0547 reward=0.004 gate=0.062 opsd=0.0193 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 72/150 loss=0.0640 reward=0.017 gate=0.719 opsd=0.2539 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 73/150 loss=0.0038 reward=0.001 gate=0.625 opsd=0.2656 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 74/150 loss=0.0021 reward=0.012 gate=0.594 opsd=0.1445 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 75/150 loss=-0.0364 reward=0.006 gate=0.750 opsd=0.3438 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 76/150 loss=-0.0466 reward=0.009 gate=0.844 opsd=0.2373 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 77/150 loss=-0.0522 reward=0.008 gate=0.531 opsd=0.1167 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 78/150 loss=-0.0012 reward=0.002 gate=0.312 opsd=0.1099 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 79/150 loss=-0.0293 reward=0.014 gate=0.094 opsd=-0.0048 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 80/150 loss=-0.0095 reward=0.010 gate=0.875 opsd=0.5547 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 81/150 loss=-0.0520 reward=0.010 gate=0.500 opsd=0.0835 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 82/150 loss=-0.0142 reward=0.006 gate=0.594 opsd=0.2197 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 83/150 loss=-0.0549 reward=0.004 gate=0.406 opsd=0.0728 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 84/150 loss=-0.0081 reward=0.008 gate=0.906 opsd=0.4727 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 85/150 loss=-0.0225 reward=0.004 gate=0.781 opsd=0.2031 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 86/150 loss=0.0134 reward=0.000 gate=0.531 opsd=0.1338 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 87/150 loss=-0.0503 reward=0.011 gate=0.375 opsd=0.0194 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 88/150 loss=0.0566 reward=0.006 gate=0.938 opsd=0.5039 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 89/150 loss=0.0359 reward=0.012 gate=0.000 opsd=-0.0132 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 90/150 loss=0.0620 reward=0.012 gate=0.969 opsd=0.6445 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 91/150 loss=0.0297 reward=0.003 gate=0.219 opsd=0.0135 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 92/150 loss=-0.0806 reward=0.011 gate=0.531 opsd=0.1025 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 93/150 loss=0.0337 reward=0.005 gate=0.156 opsd=0.0143 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 94/150 loss=-0.0444 reward=0.010 gate=0.844 opsd=0.1777 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 95/150 loss=-0.0069 reward=0.014 gate=0.750 opsd=0.0859 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 96/150 loss=-0.0116 reward=0.006 gate=0.594 opsd=0.1592 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 97/150 loss=-0.0093 reward=0.003 gate=0.938 opsd=0.2949 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 98/150 loss=-0.0118 reward=0.012 gate=0.469 opsd=0.0796 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 99/150 loss=-0.0291 reward=0.007 gate=0.781 opsd=0.1875 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 100/150 loss=0.0203 reward=0.000 gate=0.500 opsd=0.2031 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 101/150 loss=-0.0127 reward=0.007 gate=0.469 opsd=0.1001 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 102/150 loss=0.0317 reward=0.002 gate=0.281 opsd=0.0098 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 103/150 loss=-0.0325 reward=0.011 gate=0.281 opsd=0.0127 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 104/150 loss=-0.0513 reward=0.007 gate=0.750 opsd=0.2598 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 105/150 loss=-0.0151 reward=0.006 gate=0.219 opsd=0.0366 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 106/150 loss=-0.0135 reward=0.013 gate=0.312 opsd=0.0583 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 107/150 loss=-0.0537 reward=0.008 gate=0.562 opsd=0.0640 wall=4.4s
[alfworld:sdar:qwen3_1b7] step 108/150 loss=-0.0435 reward=0.013 gate=0.656 opsd=0.2578 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 109/150 loss=-0.0376 reward=0.007 gate=0.438 opsd=0.0449 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 110/150 loss=-0.0308 reward=0.002 gate=0.312 opsd=0.0339 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 111/150 loss=-0.0079 reward=0.005 gate=0.594 opsd=0.1289 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 112/150 loss=-0.0134 reward=0.005 gate=0.500 opsd=0.0530 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 113/150 loss=-0.0271 reward=0.003 gate=0.312 opsd=0.0859 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 114/150 loss=-0.0347 reward=0.007 gate=0.188 opsd=-0.0052 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 115/150 loss=0.0339 reward=0.009 gate=0.844 opsd=0.7578 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 116/150 loss=-0.0542 reward=0.009 gate=0.219 opsd=0.0623 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 117/150 loss=-0.0403 reward=0.007 gate=0.531 opsd=0.1973 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 118/150 loss=0.0234 reward=0.004 gate=0.500 opsd=0.2695 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 119/150 loss=-0.0176 reward=0.004 gate=0.062 opsd=-0.0026 wall=4.4s
[alfworld:sdar:qwen3_1b7] step 120/150 loss=-0.0148 reward=0.005 gate=0.688 opsd=0.1162 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 121/150 loss=-0.0408 reward=0.003 gate=0.312 opsd=0.0162 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 122/150 loss=-0.0400 reward=0.012 gate=0.562 opsd=0.1357 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 123/150 loss=-0.0361 reward=0.009 gate=0.531 opsd=0.1572 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 124/150 loss=-0.0574 reward=0.012 gate=0.250 opsd=0.0752 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 125/150 loss=-0.0171 reward=0.006 gate=0.688 opsd=0.1709 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 126/150 loss=-0.0742 reward=0.009 gate=0.625 opsd=0.2402 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 127/150 loss=-0.0376 reward=0.006 gate=0.688 opsd=0.2012 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 128/150 loss=-0.0013 reward=0.003 gate=0.781 opsd=0.2812 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 129/150 loss=-0.0654 reward=0.014 gate=0.312 opsd=0.0544 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 130/150 loss=-0.0391 reward=0.003 gate=0.625 opsd=0.1187 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 131/150 loss=-0.0179 reward=0.010 gate=0.656 opsd=0.2891 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 132/150 loss=-0.0216 reward=0.009 gate=0.031 opsd=-0.0120 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 133/150 loss=-0.0498 reward=0.017 gate=0.719 opsd=0.1514 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 134/150 loss=-0.0815 reward=0.010 gate=0.375 opsd=0.0703 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 135/150 loss=-0.0332 reward=0.014 gate=0.656 opsd=0.1523 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 136/150 loss=-0.0513 reward=0.011 gate=0.594 opsd=0.0674 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 137/150 loss=-0.0447 reward=0.008 gate=0.750 opsd=0.1787 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 138/150 loss=-0.0518 reward=0.005 gate=0.719 opsd=0.1157 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 139/150 loss=-0.0361 reward=0.004 gate=0.500 opsd=0.0640 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 140/150 loss=0.0175 reward=0.009 gate=0.562 opsd=0.0967 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 141/150 loss=-0.0503 reward=0.009 gate=0.438 opsd=0.1309 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 142/150 loss=-0.0481 reward=0.022 gate=0.312 opsd=0.0513 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 143/150 loss=0.0447 reward=0.003 gate=1.000 opsd=0.5508 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 144/150 loss=-0.0354 reward=0.005 gate=0.219 opsd=0.0369 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 145/150 loss=-0.0203 reward=0.013 gate=0.844 opsd=0.1982 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 146/150 loss=0.0150 reward=0.006 gate=0.031 opsd=-0.0027 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 147/150 loss=0.0693 reward=0.011 gate=0.844 opsd=0.4277 wall=4.3s
[alfworld:sdar:qwen3_1b7] step 148/150 loss=-0.0049 reward=0.001 gate=0.375 opsd=0.1230 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 149/150 loss=0.1035 reward=0.007 gate=0.531 opsd=0.1729 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 150/150 loss=-0.0121 reward=0.005 gate=0.438 opsd=0.0884 wall=4.3s
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 64.21it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 64.96it/s]
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[alfworld:grpo:qwen3_1b7] step 1/150 loss=-0.0005 reward=0.006 gate=0.000 opsd=0.0000 wall=3.9s
[alfworld:grpo:qwen3_1b7] step 2/150 loss=0.0820 reward=0.011 gate=0.219 opsd=0.0138 wall=3.9s
[alfworld:grpo:qwen3_1b7] step 3/150 loss=0.0884 reward=0.010 gate=1.000 opsd=3.2031 wall=3.8s
[alfworld:grpo:qwen3_1b7] step 4/150 loss=0.1021 reward=0.020 gate=1.000 opsd=2.3906 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 5/150 loss=0.0801 reward=0.023 gate=0.938 opsd=2.2500 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 6/150 loss=0.0156 reward=0.013 gate=0.969 opsd=1.3828 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 7/150 loss=-0.0203 reward=0.007 gate=0.875 opsd=0.2402 wall=3.8s
[alfworld:grpo:qwen3_1b7] step 8/150 loss=0.1826 reward=0.005 gate=0.656 opsd=0.1729 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 9/150 loss=0.0250 reward=0.003 gate=1.000 opsd=2.1250 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 10/150 loss=0.0273 reward=0.006 gate=0.188 opsd=0.2490 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 11/150 loss=0.0332 reward=0.004 gate=0.281 opsd=0.1216 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 12/150 loss=0.4902 reward=0.011 gate=0.719 opsd=0.1709 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 13/150 loss=0.0669 reward=0.013 gate=1.000 opsd=1.5000 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 14/150 loss=-0.0160 reward=0.014 gate=0.594 opsd=0.6094 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 15/150 loss=0.0364 reward=0.007 gate=0.750 opsd=0.8438 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 16/150 loss=-0.0615 reward=0.019 gate=0.875 opsd=1.0938 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 17/150 loss=0.0820 reward=0.016 gate=1.000 opsd=1.2266 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 18/150 loss=0.0039 reward=0.007 gate=0.875 opsd=1.1719 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 19/150 loss=-0.0308 reward=0.002 gate=0.750 opsd=1.3984 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 20/150 loss=-0.0505 reward=0.010 gate=0.656 opsd=1.5781 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 21/150 loss=-0.0308 reward=0.002 gate=0.969 opsd=1.6250 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 22/150 loss=-0.0234 reward=0.001 gate=0.969 opsd=1.3125 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 23/150 loss=-0.0374 reward=0.007 gate=0.906 opsd=1.1094 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 24/150 loss=-0.0000 reward=0.000 gate=0.844 opsd=1.0156 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 25/150 loss=0.0132 reward=0.025 gate=0.969 opsd=1.2812 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 26/150 loss=0.0461 reward=0.010 gate=1.000 opsd=0.9805 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 27/150 loss=-0.0046 reward=0.009 gate=0.656 opsd=1.4531 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 28/150 loss=-0.0000 reward=0.000 gate=0.781 opsd=0.5430 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 29/150 loss=0.0011 reward=0.005 gate=0.500 opsd=0.6797 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 30/150 loss=0.0791 reward=0.020 gate=1.000 opsd=5.5000 wall=3.9s
[alfworld:grpo:qwen3_1b7] step 31/150 loss=0.1235 reward=0.006 gate=1.000 opsd=3.2500 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 32/150 loss=0.0354 reward=0.010 gate=1.000 opsd=3.8281 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 33/150 loss=0.1494 reward=0.014 gate=1.000 opsd=4.5625 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 34/150 loss=0.0046 reward=0.001 gate=1.000 opsd=2.6562 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 35/150 loss=-0.0000 reward=0.008 gate=1.000 opsd=2.5625 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 36/150 loss=0.0070 reward=0.004 gate=0.969 opsd=2.0469 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 37/150 loss=-0.0306 reward=0.010 gate=0.844 opsd=1.6406 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 38/150 loss=-0.0444 reward=0.005 gate=0.906 opsd=1.5625 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 39/150 loss=0.0693 reward=0.004 gate=0.469 opsd=0.8281 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 40/150 loss=0.0693 reward=0.014 gate=0.250 opsd=0.0703 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 41/150 loss=0.0048 reward=0.008 gate=0.875 opsd=1.2578 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 42/150 loss=-0.0262 reward=0.013 gate=0.656 opsd=0.7305 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 43/150 loss=0.0160 reward=0.009 gate=0.719 opsd=1.2031 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 44/150 loss=-0.0305 reward=0.025 gate=0.969 opsd=1.0391 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 45/150 loss=0.0004 reward=0.014 gate=1.000 opsd=1.5312 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 46/150 loss=0.1455 reward=0.014 gate=0.469 opsd=0.0918 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 47/150 loss=0.1074 reward=0.015 gate=1.000 opsd=1.9453 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 48/150 loss=0.0830 reward=0.022 gate=1.000 opsd=1.2344 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 49/150 loss=0.4297 reward=0.028 gate=0.000 opsd=-0.0010 wall=3.7s
[alfworld:grpo:qwen3_1b7] step 50/150 loss=0.0586 reward=0.004 gate=0.844 opsd=2.2812 wall=3.6s
[alfworld:grpo:qwen3_1b7] step 51/150 loss=-0.0072 reward=0.007 gate=0.781 opsd=1.9297 wall=3.6s
